Item,Un,Val,Cat
FILE DE PEITO FRANGO,0.24,15.39,Alimentos
PERNIL C/OSSO,0.66,15.39,Alimentos
LINGUICA CALABRESA,0.24,64.9,Alimentos
UVA NIAGARA,0.265,14.97,Alimentos
MACA ARGENTINA,0.428,8.99,Alimentos
LIMAO TAITI,0.138,4.89,Alimentos
GRAO DE BICO,1,13.89,Alimentos
FARINHA D-UTIMA,1,5.89,Alimentos
ACUCAR UNIÃO,1,5.29,Alimentos
PAO TODDY POTE,1,8.89,Alimentos
ACHOC EM PO TODDY,1,7.49,Alimentos
LEITE FERMENTADO,1,5.49,Alimentos
PAO FORMA INTEG,1,11.99,Alimentos
BATATA DOCE,1,5.99,Alimentos
BATATA YVS 100G CEB,1,4.49,Alimentos
COQUINHO PIRACAO,1,5.99,Alimentos
ES BAUDUCO MAXI,1,3.59,Alimentos
ES BAUDUCO MAXI CHOC,1,3.59,Alimentos
CREME CRACK JACARE,1,5.59,Alimentos
